Games before prediction,Accuracy,Euclidean Error
1,0.37,1.36751373003
2,0.38111111111111107,1.35988364922
3,0.3866666666666667,1.31841179577
4,0.3944444444444445,1.40778779119
5,0.38888888888888884,1.34037156185
6,0.3977777777777778,1.30830731726
7,0.3866666666666667,1.45965291721
8,0.37555555555555553,1.39034165575
9,0.3666666666666667,1.46760444042
10,0.39555555555555555,1.42527863399
11,0.36444444444444446,1.41534388928
12,0.4177777777777778,1.32884727493
13,0.37,1.56559454743
14,0.32666666666666666,1.44862689945
15,0.35777777777777775,1.37310727941
16,0.3566666666666667,1.40579164167
17,0.3633333333333333,1.53084564781
18,0.3666666666666667,1.46702276291
19,0.35111111111111115,1.38859973125
20,0.37,1.44196013446
21,0.3533333333333334,1.49316552381
22,0.3833333333333333,1.44006302701
23,0.37777777777777777,1.34590731966
24,0.36777777777777776,1.45993273678
25,0.43333333333333335,1.27276818533
26,0.3566666666666667,1.41536468846
27,0.36777777777777776,1.43562597198
28,0.3655555555555555,1.3354526815
29,0.37777777777777777,1.403300681
30,0.4044444444444445,1.51465162323
31,0.38111111111111107,1.49427807267
32,0.38111111111111107,1.44149315195
33,0.3877777777777778,1.44209970427
34,0.4111111111111111,1.43342773574
35,0.37555555555555553,1.42876180752
36,0.3566666666666667,1.4647127825
37,0.36,1.49158830301
