Games before prediction,Accuracy,Euclidean Error
0,0.37294294294294295,1.2982028114
1,0.39003086419753086,1.26927534243
2,0.37238095238095237,1.30076369628
3,0.3751307189542483,1.29881933488
4,0.3723905723905724,1.30288201364
5,0.37170138888888893,1.3053851971
6,0.3747670250896057,1.30222850019
7,0.3712592592592593,1.30587709195
8,0.3709961685823755,1.30749935515
9,0.3715873015873016,1.30513657203
10,0.3813168724279835,1.29208961025
11,0.37243589743589745,1.30285777231
12,0.3712888888888889,1.30614001142
13,0.3724074074074074,1.3013076751
14,0.3736231884057971,1.30243002468
15,0.37318181818181817,1.30626056577
16,0.37195767195767193,1.30820274031
17,0.3760555555555556,1.30120570731
18,0.37058479532163746,1.30435385528
19,0.3714197530864197,1.30524196614
20,0.37078431372549014,1.30704817213
21,0.37097222222222226,1.30569971529
22,0.37111111111111106,1.30356958134
23,0.36944444444444446,1.31190424486
24,0.3583760683760684,1.31441377054
25,0.36657407407407405,1.32661705042
26,0.38242424242424244,1.32450643843
27,0.37711111111111106,1.32923815813
28,0.3782716049382716,1.34025369588
29,0.3731944444444445,1.33718079205
30,0.3650793650793651,1.34260092043
31,0.37296296296296294,1.34645126658
32,0.37155555555555553,1.34739352699
33,0.3566666666666667,1.3487963838
34,0.33777777777777773,1.34649657691
35,0.30833333333333335,1.37461729841
36,0.35,1.377679029
