Games before prediction,Accuracy,Euclidean Error
0,0.28837837837837843,0.717770951645
1,0.28941358024691355,0.714601716988
2,0.2901904761904762,0.71212194924
3,0.291437908496732,0.713041358077
4,0.29434343434343435,0.712126694632
5,0.2914583333333334,0.711383988709
6,0.293010752688172,0.712533244769
7,0.2932592592592592,0.711598846825
8,0.2899233716475096,0.711164806692
9,0.29579365079365083,0.70891887339
10,0.2937448559670782,0.708503751682
11,0.29807692307692313,0.706051932931
12,0.2912,0.711794162171
13,0.2917592592592593,0.709742855046
14,0.29400966183574884,0.70895176512
15,0.2915656565656566,0.709962503148
16,0.2898412698412698,0.711552044428
17,0.29400000000000004,0.710721683903
18,0.2948538011695906,0.71028551716
19,0.2919135802469136,0.712984695047
20,0.29000000000000004,0.712272909396
21,0.29756944444444444,0.709715357999
22,0.29088888888888886,0.714014956848
23,0.29134920634920636,0.715270840099
24,0.292991452991453,0.714438341814
25,0.2861111111111111,0.717168385249
26,0.286060606060606,0.718837544031
27,0.2791111111111111,0.724112588835
28,0.2845679012345679,0.71584352747
29,0.28,0.715775178052
30,0.2782539682539683,0.717381061823
31,0.27574074074074073,0.720272634422
32,0.26355555555555554,0.731058010012
33,0.2733333333333333,0.722768484166
34,0.26222222222222225,0.72739514072
35,0.24,0.742143018141
36,0.23333333333333328,0.738370004283
