Games before prediction,Accuracy,Euclidean Error
0,0.2649249249249249,0.735090982876
1,0.26462962962962966,0.746984550467
2,0.2642539682539683,0.736519804434
3,0.2631045751633987,0.746925791382
4,0.26350168350168346,0.744960456038
5,0.2636805555555556,0.736392611861
6,0.26637992831541224,0.741508909538
7,0.26370370370370366,0.744518454961
8,0.27206896551724136,0.736037560813
9,0.27496031746031746,0.733212515728
10,0.2776131687242799,0.730772583605
11,0.28410256410256407,0.724591200607
12,0.2792,0.728120380998
13,0.2760648148148148,0.728696210657
14,0.2730434782608696,0.734479833971
15,0.27101010101010103,0.737292883323
16,0.28682539682539687,0.720266575279
17,0.2971111111111111,0.70547554526
18,0.2854970760233918,0.71691026483
19,0.3111111111111111,0.70658829251
20,0.2635294117647059,0.743963863858
21,0.3438888888888889,0.680838014376
22,0.33466666666666667,0.688644989991
23,0.3356349206349206,0.678743555392
24,0.36470085470085467,0.663257881771
25,0.38722222222222225,0.652140115638
26,0.4418181818181818,0.63152700081
27,0.347,0.664270692024
28,0.41740740740740745,0.619667472147
29,0.47638888888888886,0.569433174252
30,0.5376190476190477,0.551687037664
31,0.5527777777777778,0.506284569105
32,0.6386666666666667,0.472600477419
33,0.7363888888888889,0.428732761548
34,0.2811111111111111,0.723899219879
35,0.97,0.171022179025
