Games before prediction,Accuracy,Euclidean Error
0,0.36771771771771766,1.29498585513
1,0.3748765432098765,1.29618364303
2,0.37676190476190474,1.29565590148
3,0.373202614379085,1.30197110917
4,0.36851851851851847,1.29004861555
5,0.3729513888888889,1.30295202357
6,0.3757706093189964,1.30186861406
7,0.3758518518518519,1.29952042177
8,0.3716858237547893,1.30612852681
9,0.37388888888888894,1.30200642729
10,0.3732098765432099,1.30104751194
11,0.37286324786324787,1.30324130279
12,0.37177777777777776,1.30506868019
13,0.3724074074074074,1.30130812845
14,0.3797584541062802,1.29028629155
15,0.3752525252525253,1.30328225435
16,0.38349206349206344,1.28747170727
17,0.37150000000000005,1.30575981035
18,0.37204678362573096,1.30157783658
19,0.3758641975308642,1.30187157387
20,0.3898692810457516,1.28425466581
21,0.3748611111111111,1.29910420314
22,0.38762962962962966,1.29115494281
23,0.36944444444444446,1.3119035026
24,0.36905982905982904,1.31167714606
25,0.36657407407407405,1.32661666452
26,0.38010101010101005,1.32465490079
27,0.4194444444444444,1.28175862072
28,0.3824691358024691,1.33236135971
29,0.37777777777777777,1.33646229648
30,0.3650793650793651,1.34260119582
31,0.3794444444444445,1.3347564236
32,0.36377777777777776,1.33521161852
33,0.3566666666666667,1.34879637051
34,0.3625925925925926,1.33039637785
35,0.38722222222222225,1.32976438901
36,0.39222222222222225,1.33323991153
