Games before prediction,Accuracy,Euclidean Error
0,0.2649249249249249,0.737783214169
1,0.26462962962962966,0.747092010749
2,0.2642539682539683,0.747729465538
3,0.2631045751633987,0.746827758421
4,0.26350168350168346,0.736507291575
5,0.2636805555555556,0.740440688898
6,0.2697491039426523,0.732876847036
7,0.27688888888888885,0.725685778244
8,0.2960919540229885,0.713163962947
9,0.26357142857142857,0.736464454896
10,0.3348559670781893,0.691155918738
11,0.2633333333333333,0.736778877468
12,0.3515555555555555,0.671243267797
13,0.2625925925925926,0.737431712972
14,0.37710144927536227,0.65301201648
15,0.36757575757575756,0.661269696351
16,0.3982539682539683,0.635625376134
17,0.39749999999999996,0.635675208589
18,0.45654970760233915,0.598829393006
19,0.4169135802469136,0.62245182828
20,0.5109150326797385,0.56245703656
21,0.4945833333333334,0.565507940478
22,0.25829629629629625,0.741875456855
23,0.4538888888888889,0.539518320813
24,0.5758119658119658,0.481289919116
25,0.5358333333333334,0.494274505678
26,0.7088888888888889,0.400742271041
27,0.723,0.362112962861
28,0.7545679012345679,0.344529065094
29,0.4741666666666666,0.541227895796
30,0.7849206349206349,0.417216919114
31,0.2540740740740741,0.746669958614
32,0.25044444444444447,0.750052444256
33,0.9852777777777778,0.0555659430413
34,0.997037037037037,0.0132580999987
35,0.92,0.186978245244
