Games before prediction,Accuracy,Euclidean Error
0,0.2969069069069069,0.71969608112
1,0.29521604938271606,0.723159922143
2,0.28993650793650794,0.724610680127
3,0.28647058823529414,0.728112816822
4,0.29528619528619526,0.721758040056
5,0.2881597222222222,0.726591132511
6,0.2878494623655914,0.727345009662
7,0.28733333333333333,0.727998938852
8,0.28720306513409966,0.728135728664
9,0.2891269841269841,0.726367180517
10,0.28913580246913584,0.725394091362
11,0.29012820512820514,0.724939951273
12,0.2876888888888889,0.726577885616
13,0.28615740740740736,0.727579923224
14,0.29695652173913045,0.720856549397
15,0.28828282828282825,0.726009181791
16,0.328941798941799,0.701189312324
17,0.2861666666666667,0.726934511573
18,0.28479532163742693,0.728273869253
19,0.28302469135802466,0.729914658974
20,0.28241830065359474,0.729708401258
21,0.28388888888888886,0.727470079138
22,0.28296296296296297,0.728354031057
23,0.29579365079365083,0.721899030579
24,0.2799145299145299,0.730978744076
25,0.27574074074074073,0.734056197522
26,0.2758585858585859,0.732863244841
27,0.2747777777777778,0.734818710267
28,0.28246913580246913,0.729468231124
29,0.2795833333333333,0.729701569542
30,0.30619047619047624,0.704879190718
31,0.2811111111111111,0.732943349264
32,0.2711111111111111,0.740622257787
33,0.2530555555555556,0.742453924223
34,0.25222222222222224,0.746633305772
35,0.2366666666666667,0.761678999551
36,0.2833333333333333,0.714340387169
