Games before prediction,Accuracy,Euclidean Error
1,0.38111111111111107,0.781230700072
2,0.43000000000000005,0.751576074898
3,0.4033333333333333,0.756146811678
4,0.42333333333333334,0.752846055859
5,0.40888888888888886,0.76414956396
6,0.41888888888888887,0.73141243137
7,0.3733333333333333,0.78714630887
8,0.43666666666666665,0.727443780971
9,0.4377777777777778,0.71581563738
10,0.37,0.813754613303
11,0.3555555555555555,0.821433650924
12,0.39,0.755503216284
13,0.36777777777777776,0.820684656396
14,0.37888888888888894,0.79109473789
15,0.39555555555555555,0.743042869378
16,0.43000000000000005,0.726955206958
17,0.3633333333333333,0.803962970394
18,0.38888888888888884,0.764136336817
19,0.4033333333333333,0.76868773482
20,0.38111111111111107,0.776335436882
21,0.39222222222222225,0.759208488177
22,0.4288888888888889,0.707105492238
23,0.38222222222222224,0.767366649941
24,0.37444444444444447,0.771028339585
25,0.4066666666666666,0.744175459485
26,0.4211111111111111,0.745832877665
27,0.38888888888888884,0.777983857777
28,0.3622222222222222,0.811504819558
29,0.37888888888888894,0.771975578361
30,0.3944444444444445,0.74430176658
31,0.4077777777777778,0.751554388687
32,0.3866666666666667,0.791991541295
33,0.3844444444444445,0.786215940088
34,0.4177777777777778,0.754069643094
35,0.3944444444444445,0.761411217118
36,0.37,0.807710437901
37,0.41666666666666663,0.738730411382
